Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/pt,FH Wnr/Pt,BH Wnr/Pt,Vs Ratio,Vs Wnr/Pt,Vs UFE/Pt
2023 Indian Wells R16,W vs Peterson,21,29,0.7,11.7,16.1,15,27,0.6,9.0,16.2,5.4,3.6,0.7,13.9,20.6
2023 Indian Wells R32,W vs Noskova,20,20,1.0,17.4,17.4,12,18,0.7,11.7,17.5,5.8,4.9,0.6,13.9,25.2
2023 Indian Wells R64,W vs Bucsa,14,21,0.7,12.8,19.3,11,19,0.6,11.1,19.2,8.1,2.0,0.3,9.2,30.3
2023 Dubai SF,L vs Swiatek,12,28,0.4,11.2,26.2,10,26,0.4,10.1,26.3,3.0,7.1,0.7,14.0,19.6
2023 Dubai QF,W vs Keys,5,17,0.3,4.3,14.7,4,17,0.2,3.6,15.5,0.9,1.8,0.3,9.5,27.6
2023 Dubai R32,W vs Sasnovich,12,12,1.0,11.7,11.7,10,11,0.9,10.6,11.7,5.3,5.3,0.4,11.7,29.1
2023 Doha R16,W vs Kvitova,11,17,0.6,8.9,13.8,4,14,0.3,3.7,12.8,3.7,0.0,0.6,17.9,27.6
2023 Australian Open R16,L vs Ostapenko,20,6,3.3,14.0,4.2,14,4,3.5,10.9,3.1,5.5,5.5,1.5,21.0,14.0
2023 Australian Open R32,W vs Pera,23,31,0.7,15.3,20.7,16,28,0.6,11.8,20.6,7.4,3.7,0.5,15.3,31.3
2023 Australian Open R64,W vs Raducanu,15,37,0.4,10.2,25.2,12,34,0.4,8.8,24.8,4.4,3.6,0.4,11.6,26.5
2023 Australian Open R128,W vs Siniakova,25,19,1.3,23.6,17.9,23,18,1.3,23.0,18.0,9.0,12.0,0.3,7.5,21.7
2023 Auckland F,W vs Masarova,20,20,1.0,17.7,17.7,16,17,0.9,15.8,16.8,7.9,6.9,0.5,10.6,20.4
2023 Auckland R32,W vs Maria,31,27,1.1,24.8,21.6,30,25,1.2,25.4,21.2,14.4,9.3,0.5,8.8,19.2
2022 BJK Cup RR,L vs Siniakova,12,24,0.5,9.9,19.8,10,21,0.5,9.0,18.9,6.3,2.7,0.8,10.7,14.0
